Story,Works with,No. of Actions,Author
Send an IOC to Recorded Future for analysis,,21,Michael Tolan
Send an Okta MFA challenge via a Tines page,", ",34,
Analyze phishing emails with Recorded Future,,36,
Read forwarded phishing emails and attachments,,5,
Normalize alerts with Tines AI and create Cases,,11,Michael Tolan
Create GitHub Issues from Elastic SIEM alerts,", ",6,
Send a prompt to a Slack channel or user & take action,,13,Lasse Høgsholt
Search and delete spam in an Office 365 mailbox,,10,
Monitor action failures in Tines and notify via Slack,", ",14,Michael Tolan
Add URLhaus URLS to Cisco Umbrella deny list,,5,
Enrich & remediate suspicious logins reported in Okta,", , , ",14,Derek Wohlfahrt
Use AI to create cases and act on CrowdStrike alerts,", , , ",87,Conor Dunne
"Disable accounts in Google Workspace, GitHub, and Okta",", , , ",23,Aaron Sandow
Perform threat hunting with SentinelOne Deep Visibility,,27,Conor Dunne
Send a message to user in Microsoft Teams,", ",17,
Detect secrets and sensitive data shared in Slack,,15,Nick Page
Kill an active process in CrowdStrike,,21,Conor Dunne
Disable accounts in Microsoft Entra ID,", ",14,
Isolate a host protected by Elastic Endpoint,,11,Conor Dunne
Add CrowdStrike Spotlight vulnerability evidence to Drata,", ",16,
Describe a Tines Story with Tines AI,,6,Michael Tolan
Get weather for a location,,3,
Tag Tines cases using MITRE ATT&CK techniques and tactics,,13,Conor Dunne
Check if new AWS GuardDuty findings are malicious,", , , ",27,
Manage alerts from Microsoft Defender Cloud,", ",39,
Analyze and triage suspicious emails across tools and Tines cases,", , , , ",65,Michael Tolan
Common data filtering examples,,8,
Analyze domains via slash command in Microsoft Teams,", ",10,
Submit URL for analysis via Slackbot and return screenshot of results,", , ",9,
Analyze files in Joe Sandbox,,25,Troy Wegner
Add a user to Okta,,10,
Check URL in CheckPhish,", ",7,
Correlate & alert on failed login attempts in Okta via Slack,", ",8,
Triage new alerts in Google Alert Center with human oversight,", , ",19,
Invalidate user's password in Azure Active Directory,", ",9,
Manage CrowdStrike IOCs in Slack,", ",38,
Build a counter in Tines,,6,
Verify CrowdStrike is present on new devices in Jamf,", , ",9,Conor Dunne
Check IP addresses in Panther & send results via Slack,", , ",20,Eoin Magner
Detect and Respond to Okta Impossible Travel Sign-ins with Slack and Tines Cases,", ",25,
Pull IOCs from Malware Traffic Analysis,,14,
Move Google Docs and Calendar to another user in Google Workspace,,17,
Submit prompts to Tines AI and get results,,3,Michael Tolan
Draft or send an email,,6,
Start conversations with ChatGPT in Slack,", ",12,
"Detect, log and remediate AWS alerts with Orca Security and Jira",", , , ",21,
Detect and Block Bucket Public Access Policy with Cyera.io and AWS,", , ",11,
Invalidate authentication sessions for a user in Azure Entra ID,", ",17,Michael Tolan
Take action on Azure Sentinel alerts depending on severity level,", , , ",30,Shaun Finn
Query Elasticsearch and page through results,,15,
Respond to approve and deny requests via Slack,,7,
Crowdsource suspicious logins and suspend accounts,", , , , ",16,
Track Snyk issues in Jira,", ",16,
Pull a Python Script from Github to execute in Tines,,6,
Ingest Tines audit logs into AWS S3 Bucket,,7,
Build ServiceNow API requests in Tines,,20,Conor Dunne
Make a query in Sumo Logic,,9,
Request URLs to be added to Zscaler Allowlist,", ",13,
Incident Management with Slack and Tines Cases,,90,
Investigate and enrich suspicious Office 365 login Elastic alerts,", ",20,
Monitor US-CERT for IOCs and block dynamically,,14,
Document Tines stories in Atlassian Confluence,", ",72,Tyler Talaga at MyFitnessPal
Onboard employees to BambooHR and grant access to office suites and Microsoft Teams,", , , , ",11,
"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases",", , , , ",10,Michael Tolan
Filter Hunters alerts by risk level and create cases via Slack,", , ",8,
Use Analyst1 threat intelligence in Sublime Security,", ",39,
Search for Jamf assets using Tines Pages,,9,
Identify false positive alerts from Elastic using a database in Notion,", ",11,Michael Tolan
Send Wiz alerts to Slack and raise issues in Jira,", , ",22,
Search IOCs on webpages in VirusTotal and Circl CVE,,45,Conor Dunne
Receive alerts for public S3 buckets & make private,", ",12,
Search for & remediate public AWS S3 buckets with JupiterOne,", , ",10,
Analyze a URL with URLScan,,17,Michael Tolan
Analyze IOCs in Pulsedive,,19,Michael Tolan
Elastic SIEM to Slack alert enrichment,", , ",106,Aaron Jewitt at Elastic
Email an on-call engineer with PagerDuty,", ",21,
Run & track vulnerability scans with Orca Security,", ",12,
Retrieve and remediate Cyera issues,", , , ",45,Monolithic Power Systems
Discover and monitor unmanaged devices using Axonius,", , ",10,
Monitor and deactivate long-lasting AWS IAM keys,,12,Michael Tolan
Report and lock lost devices in Jamf,", , ",14,Conor Dunne
Create unique ServiceNow tickets from Splunk alerts,", ",19,
Send out-of-office replies in Slack,,6,
Detonate files with Recorded Future Sandbox,", ",17,
Analyze phishing emails with Material Security,,32,
Block scanning IPs with Palo Alto external dynamic list,,6,
Investigate EDR alerts from Carbon Black,", , ",11,Shaun Finn
Streamline macOS software updates with self-service patch management,,57,Tyler Talaga at MyFitnessPal
Create new Azure AD users via a form,", , ",10,Shaun Finn
Enrich Microsoft security update CVEs with Recorded Future,", ",18,Derek Wohlfahrt
Send an MFA push challenge to an Okta user on-demand,", ",11,
Check if host is active in CrowdStrike and take action,", ",14,
Add completed security training evidence to Drata,,7,
Manage CrowdStrike detections using Pages,,19,Conor Dunne
Check mailboxes for external autoforward rules and filters in Google Workspace,,28,
Deactivate stale AWS access keys discovered by Wiz,", , , ",17,Derek Wohlfahrt
Reset a user's password and active sessions in Okta,,9,Michael Tolan
Track AWS GuardDuty alerts in Jira and remediate,", , ",18,
Authenticate to Microsoft Graph through multiple user identities with Tines Pages,,8,Matthew at Alteryx
Create just-in-time access requests and manage users,,33,
Flip a coin,,6,
Chat with AWS Bedrock in Slack threads,", ",10,Michael Tolan
Report on inactive Okta accounts using Tines cases and deactivate,,19,
Manage GitHub pull requests via Slack,", ",14,Conor Dunne
Search and Update Splunk Notable with VirusTotal Enrichment with case management and Microsoft Teams notification,", , ",18,
Retrieve Proofpoint events and log issues in Jira,", , , , ",11,Michael Tolan
Fetch recent news and post to Bluesky Social with article links,,4,
Ingest Tines audit logs into Datadog,", ",7,Aron Day
Analyze vulnerabilities from JupiterOne by source account,", , ",12,
Review Azure Activity Reports for inactive user and licenses,", ",12,Conor Dunne
Create issues in GitHub and Jira from findings in Semgrep,", , ",20,Conor Dunne
Check arrays for common elements using formulas,,17,
Manage Qualys EC2 vulnerabilities in Jira,", ",25,
Advanced Live Response tool for Microsoft Defender powered by Tines pages,,112,Horia Todoran
Run commands and scripts with Tines,,9,
Run a query in Snowflake,", , , ",5,
Block suspicious IPs by creating firewall rule groups with CrowdStrike,", ",17,
Retrieve files from devices in CrowdStrike,", ",47,Conor Dunne
Add IOCs from Pulsedive to Azure Sentinel,", ",5,
Analyze open issues in Wiz with ChatGPT,", ",12,
Add alert evidence from Armis to Drata controls,", ",8,
Create Jira issues for new alerts from Google Alert Center,", ",8,
Initiate CrowdStrike RTR memory dump,,17,
Manage held queue messages in Mimecast,", ",19,
Approve user access to Okta or Office 365 using Pages,", , , ",44,
Add devices in Kandji to Google Sheets,", ",7,Michael Tolan
Triage email attachments with Material Security,", ",13,
Implement data loss prevention policies,", , ",35,
Create a contact form using Tines Cases and Records,,4,
Submit and analyze PDF for IOCs with Tines,", ",14,Michael Tolan
Receive enriched IP information via Slack,", , , ",6,Aaron Sandow
Examine a file in CrowdStrike FalconX Sandbox,,15,
Analyze SMS phishing with the AI action,", , , ",33,Michael Fischler at Roblox
Triage Slack help desk queries,", ",28,
Monitor application access changes in Okta,,18,Michael Tolan
Remediate PagerDuty alerts,", ",23,
Verify a user using Slack and Okta verify,", ",27,
Analyze vulnerabilities from JupiterOne by severity,", , ",30,
Create Zendesk Ticket via Google Forms,", ",8,
Hunt IP addresses in GreyNoise,,11,
"Handle, enrich and notify teams of new Qualys alerts",", , ",20,
Manage departing employee watchlists in Code42,,14,
Create Tines Cases from Elastic Common Schema,,21,Conor Dunne
Send Tines case notifications to subscribers in Slack or Teams,", , ",26,Michael Tolan
Move security logs from Google Workspace to Elastic Security,", ",4,
Import Story backups from GitHub to Tines,,43,
Investigate & remediate critical container vulnerabilities in Aqua Security Cloud Workload Protection Platform,", ",24,
"Retrieve user, device, and vulnerability data in Axonius",", ",29,
Geolocate IP addresses,,5,Michael Tolan
Detect and remediate high AWS EC2 CPU usage with Elastic Observability and document with Tines cases,", , ",27,
Close CrowdStrike detections when ServiceNow incidents are resolved,", ",4,Conor Dunne
Generate new vulnerability scan reports with Qualys,,15,
Gather & add correlated searches in Splunk Enterprise Security to Drata,", ",14,
Determine severity of LimaCharlie detections and triage,", , ",21,
Generate MITRE ATT&CK Navigator layout from Tines cases,,9,Conor Dunne
Upload compliance evidence to Drata,,14,
Analyze malware with Intezer using pages,,10,Conor Dunne
Monitor large downloads by employees in Netskope and create Jira issues,", ",11,Michael Tolan
Search and view Indicators of Compromise from MISP events,,12,Conor Dunne
Save Tines Story in AWS S3,,5,
Interact with a device controlled by VMware Carbon Black,,17,
Utilize Tines prompts in Slack without opening a new browser tab,", ",8,
Generate sample security alerts with Tines or Cortex XDR,", ",10,Conor Dunne
Manage indicators of compromise in SentinelOne with Tines pages,,15,Conor Dunne
Create on-call Slack channels using OpsGenie groups,", ",10,
Generate a CrowdStrike RFM Report with AI,,24,Tom Power at University of British Columbia
Handle GitHub notifications and notify Slack,", ",17,
Using the Microsoft Office 365 management API to view audit logs,,9,
Track & add background check evidence to ensure regulatory compliance in Drata,,7,
Tracking state in Tines Resources,,6,
Build a conditional counter loop,,8,
Send email and post contents to Slack,,3,
Cleanup inactive users in AWS IAM,", ",43,
Dynamically set implode mode size,,3,
Convert structured JSON to HTML and send via email,,5,
Explode & implode data multiple times,,9,
Enrich a list of CVEs using Recorded Future via a form,,17,Derek Wohlfahrt
Search Google Sheets information via Slack,", ",13,
Distribute decision making using ChatOps,,12,
Delete an email from a specified user's mailbox,,4,
Retrieve & deduplicate Google Chronicle alerts,,5,
Filter results when using implode mode,,19,John Tuckner
Query Snyk & gather a vulnerability report,", ",13,
Assume a new AWS role and execute commands using Boto3,,3,
Monitor & respond to Slack queries from external users & respond using Zendesk,", ",80,Lasse Høgsholt
Provide compliance information after signing an MNDA in Docusign eSignature,", ",14,
Enrich CrowdStrike incidents with VirusTotal & send to TheHive,", , ",25,Conor Dunne
Look for & remediate new breaches using Recorded Future,", , ",24,
Create issues utilizing custom fields in Jira,,5,
Fetch recent cybersecurity news and post to LinkedIn,", ",6,
Make a query in Google BigQuery,,12,
Export CrowdStrike detections to OneDrive as CSV,", ",5,Michael Tolan
Receive and analyze emails with rules in Sublime Security,,13,
Analyze files with VMRay,", , , ",31,
Query AWS IAM users in groups,", ",5,Shaun Finn
Isolate machines in Microsoft Defender,,23,Conor Dunne
Organize new form responses in Google Sheets,", ",3,
Create instant Google Meets via Slackbot,", ",5,Eoin Magner
Create and update Tines Cases from questions in Slack,", ",72,Lasse Høgsholt
Create a survey with charts using Pages,,8,
Search Splunk Enterprise logs,,13,Conor Dunne
Detect and alert performance issues in devices using Elastic and Slack,", ",4,Tines and Conor Dunne
"Extract, analyze, & enrich IPs from a WebEx chatbot",", ",7,
Notify users of open tickets in TheHive,", ",10,
Search Okta logs for user or IP activity,,12,Michael Tolan
"Hunt, contain, and escalate threats with Thinkst Canary",,31,
Create shift handover notes in Confluence send reminders in Slack,", , ",13,Michael Tolan
Analyze GitHub pull requests for vulnerabilities with ChatGPT,", ",5,
Create and escalate Jira issues for GitHub Advanced Security findings,", , ",6,Conor Dunne
Monitor Azure AD MFA fraud alerts and track in Jira,,10,Nate Adams at Sophos
Retrieve vulnerabilities from SonarCloud and suggest code fixes in GitHub,", , ",13,Conor Dunne
Trigger offboarding in Grip Security,,8,
Create Tines story documentation using ChatGPT and store in Notion,,10,
Analyze potential SMS phishing attacks and raise incidents in Jira,", , ",22,Rajesh Kumar
Add host vulnerabilities in Lacework to Drata controls,", ",8,
Conduct IP address search using Cribl,,14,Igor Gifrin at Cribl
Sync assets between Kandji and runZero while updating ownership,", ",18,
Search Jira for open SLA breaches,,22,Nick Page
Case Lifecycle Management,,33,Brandon Maxwell
Lookup a host in CrowdStrike,,12,
Receive Azure Sentinel alerts and block IPs with firewall rules,", ",15,Conor Dunne
Remediate compliance violations with Lacework,", , ",12,
Export Tines records to OneDrive,", ",4,Michael Tolan
Receive & remediate SNS notifications from AWS Config,", ",43,Shaun Finn
Enrich SentinelOne alerts with Stairwell Inception,", ",19,
Extract text from a PDF or image with AWS Textract,,38,
Query for & protect emails in Material Security,,24,
Run a simulated phishing attack,", , ",22,Conor Dunne
Find and reboot devices with failed Microsoft Intune updates,", ",6,Conor Dunne
Transform alerts to the OCSF format using ChatGPT and create a case,,14,Tines
Get fun quotes from TV shows like The Simpsons and The Office,,7,
Enrich & remediate suspicious logins reported in Okta using Cases & Records,,56,Sam Olson at Omada Technologies
Search for IOCs in MISP default feeds,,8,Sif Baksh
Backup Tines stories to Google Cloud Storage,", ",24,Michael Tolan
Send multifactor push prompt in Azure Entra ID,,20,Nathan Collings at Holland & BarrettJohn Tuckner
Add JA3 client blocklist from Abuse.ch to AWS firewall rule,", ",17,
Submit indicators of compromise to CrowdStrike's watchlist,,53,
Interact with a site with Browserless,,23,Michael Tolan
Transfer cases between Tines case groups based on criteria,,28,Michael Tolan
Complete PDF forms in DocSpring using Tines pages,,23,Conor Dunne
Create GitHub issues from Sumo Logic alerts,", ",10,
Capture product feedback and post it to Slack,", ",23,Tines
Send Bulk Updates To Salesforce,,12,
Retrieve software vulnerabilities from Fleet for a given host,,6,Dave Herder at Fleet
Retrieve a file from a CrowdStrike endpoint,,24,Conor Dunne
Schedule a story,,22,Conor Dunne
Analyze attack surface for an organization with Criminal IP,", ",22,
Monitor Tines audit logs for action changes and send Slack alerts,", ",7,
Get failing test resources in Drata,,7,
Using Records to improve story performance in Tines,,51,
Identify EC2 instances missing tags and configure them with a Tines page,", ",10,Conor Dunne
Analyse an IP in Shodan,,10,Michael Tolan
Ingest Tines audit logs into Sumo Logic,", ",7,Aron Day
Summarize suggested changes in Tines stories with AI,,12,Tyler Talaga and Caleb Williams at MyFitnessPal
Download PCAP from Endace Probe triggered by intrusion detection,", ",26,Roberto Cordeiro at Endace
Employee recognition app with BambooHR and Slack,", ",20,
Create Linear issues from Slack message reactions,", ",14,Tines and Conor Dunne
Search Elastic alerts,,17,Michael Tolan
Monitor and remediate inactive Kandji devices with Tines Cases,", ",23,Michael Tolan
Reset a user's password in Okta,,8,Conor Dunne
Loop over an array to find high severity alerts,,3,
Rate limit requests to an API,,4,
Remove duplicates from arrays across Story runs,,6,
Navigate complex data structures with Tines' JSONPath function,,12,Derek Wohlfahrt
Fetch & record significant vulnerabilities from Qualys Container Security,", ",13,Aaron Sandow
Onboard employees with flexible forms,", , ",14,
Copy & update a Google Docs template in a shared folder,,8,
Lookup user in Okta,,17,Michael Tolan
Retrieve related domains using DomainTools' Iris Investigate,,20,
Prompt a user for a response through email,,9,
Manage Jira issues via Slackbot,", ",94,
Analyze URLS for fraud and abuse,,9,
Retrieve new alerts from Microsoft Defender and create issues in Jira,", , ",21,Michael Tolan
Retrieve and grant manager access to employee's OneDrive,,10,Zach Strickland
Format key value pairs as a markdown table,,5,Adam Maksimuk at Navan
Escalate alerts which users have not responded to,,14,
Enrich CrowdStrike detections with Active Directory and correlate in Jira tickets,", , , ",24,
Use OpenAI to create Tines Actions,", ",3,
Retrieve & enrich IOCs across multiple platforms,", , , , ",14,
Export recent Okta logs to AWS S3,", ",10,
Add suspicious domains to Google Chronicle reference list,", ",5,
Communicate across channels in Microsoft Teams and Slack,", , ",15,Michael Tolan
Retrieve emails from Outlook and add the details to a Microsoft OneDrive spreadsheet,", ",9,Conor Dunne
Create Terraform Infrastructure as Code,", , , , ",16,
Generate a Tines Story visual,,4,
Add device to group in CrowdStrike temporarily,,15,
Close similar issues in Jira,,13,Michael Tolan
Send new Notion database entries to Google Sheets,", ",3,
Search Notion for information,,10,
Retrieve info from websites with Beautiful Soup,,5,
"Activate holiday cheer with Shelly, Spotify, and Tines",,32,Colleen Gallagher
Update Excel files in OneDrive through email attachments and Pages,", ",26,
Analyze file in AlienVault OTX,,29,Troy Wegner
Enrich OpenCTI malware analysis with VirusTotal observables,", ",21,Conor Dunne
"Create, update and run AWS Lambda functions",,39,
Create Zendesk tickets via Tines Forms,,9,
Utilize AWS Lambda functions,,1,
Add known exploited vulnerabilities to Recorded Future,,6,
Sensitive files shared to personal email,", , ",26,Brandon Buhrs at Mambu
Compare AI responses across large language models,,10,Tyler Talaga at MyFitnessPal
Analyze queried tweets based on keywords,,29,
Analyze quality of tickets in ServiceNow,,10,Michael Tolan
Discover new objects in collections provided by the MITRE TAXII server,", ",10,Conor Dunne
Create Google Calendar events from Notion database,", ",9,Jesse Johnson at Material Security
Sync recent Outlook Calendar events to a Notion database,,3,Michael Tolan
Analyze suspicious files with Any.run,,15,
Monitor Panther alerts & remediate SSH brute force attacks,,19,Eoin Magner
Analyze a file in Hybrid Analysis,,32,Martin Moroney
Backup Tines Stories to GitLab and notify Slack,", , ",45,Michael Tolan
Add Notion database entries as Outlook calendar events,", ",4,Michael Tolan
Facilitate two-way communication between Slack & Zendesk,", ",33,Lasse Høgsholt
Create a risk register using Tines records,,12,Conor Dunne
Build and send a weekly metric review,", ",29,Joe Frederick at Credit Karma
Send reminders for risk register updates,", ",15,Conor Dunne
Automate AWS Account onboarding to Zanshin,,12,
Query AWS CloudTrail for a user's recent API calls,,11,
"Handle malware alerts with CrowdStrike, Oomnitza, GitHub, and PagerDuty",", , , ",25,Lucas Cantor at Intercom
Send push notifications in Duo Security,,23,
Analyze suspicious URLs with Any.run,,15,
Audit & enforce compliance on endpoints with SimpleMDM,", , ",49,
Execute a script on an endpoint with Microsoft Defender Live Response,,21,Conor Dunne
Add expense receipt photos to Navan,,5,
Process CrowdStrike detections with Intezer,", , , ",22,Aaron Sandow
Send a text with Twilio,,5,
Initiate Terraform request to create Infrastructure as Code,", ",5,
Sync Tines case comments with Hunters leads,", ",7,
Search Jira for Issues,,8,Michael Tolan
Respond to security alert,,30,Conor Dunne
Perform SQL searches in Panther,,15,
Scrape CVE information using Browserless and send an email to users,,9,Michael Tolan
Create snapshot and isolate a compromised AWS instance,,25,Conor Dunne
Manage temporary EC2 instances for development and testing and send notifications in Slack,", ",95,
Get end of life details for a product,,12,Michael Tolan
Lookup user in multiple platforms,", , , ",11,Michael Tolan
Message into Slack based on Jira queries,", ",8,Michael Tolan
Receive password breach alerts from SpyCloud and secure accounts,", , , ",23,Conor Dunne
Submit and analyze IOC with Cybersixgill via Tines Pages,,12,
Search for IOCs and create incidents in DataDog,,16,Conor Dunne
Search & sort SLA breaches in TheHive,,17,
Onboard users to OctoPerf via Slack or Jira,", , ",29,
Fetch rule results from Recorded Future Attack Surface Intelligence & open Jira tickets,", , ",31,Aaron Sandow
Respond to & configure Terraform Cloud run task,", , , ",16,
Manage Jira custom fields and individual issue values with Pages,,21,Conor Dunne
Create a ServiceNow incident from Slack,", ",7,Conor Dunne
Manage IOCs in CrowdStrike Using Tines Pages,,32,
Upload & track asset management information from Tenable in Drata,", ",8,
Monitor a host's resources using playbooks in Ansible Tower,", ",14,Conor Dunne
Handover Oncalls in Opsgenie with Tines Cases,", , ",17,
Append data to Google Sheet,,16,
Create an OAuth application using Tines pages,,7,
Manage Okta apps using pages in Tines,,67,Michael Tolan
Update groups assigned to a user in Microsoft Entra ID,", ",58,Michael Tolan
Extract SentinelOne alert evidence & upload to Drata controls,", ",8,
Manage Velociraptor artifact collection via Slack,", , ",9,Conor Dunne
Monitor and patch Tanium machines via Tines,", ",31,
Rotate AWS IAM access keys and update Tines credentials,", , ",16,Michael Tolan
Remediate AWS IAM alerts detected with Wiz using Slack and Jira,", , , ",36,Conor Dunne
Log events for auditing using Tines story monitoring,,6,
Respond to Okta alerts with Mattermost & Jira,", , ",20,
Check updated CVEs for exploitation using VulnCheck and GreyNoise,", ",11,
Fetch & block high-risk domains with DomainTools and NextDNS,", ",25,DomainTools
Report and lock lost devices in Jamf with Okta SSO,", , , ",27,Sakil Khan
Retrieve and respond to Azure guest accounts detected by Wiz,", , ",20,Conor Dunne
Receive and Remediate Security Hub S3 findings from Amazon Security Lake,", ",13,
Manage Logz.io SIEM Alerts,", ",5,
Add Malwarebytes policy evidence to Drata controls,", ",6,
Scheduled rotation & tracking for AWS Access Keys in Drata,", , ",29,
How to optimize Tines Stories,,81,Colleen Gallagher
Check Thinkst Canary alerts in GreyNoise and record in runZero,", , ",7,Justin Varner
Disable new MFA devices in Okta,,6,Michael Tolan
Register and handle Discord interactions,,11,Yannick Gloster
Manage GitLab issues in Slack,", ",47,Conor Dunne
Share reminders for company holidays,", ",15,
Create high severity alerts in Devo SIEM for analysis,,4,
Calculate business days between dates,,3,Anthony Milazzo
Sign up for a 24-hour relay using Tines Pages and Records,,11,
Refresh Okta zones with latest active Zscaler IP ranges,", ",16,
Handle Opsgenie alerts and create a Tines case,", ",24,
Monitor web services for availability via Pushover,,6,
Analyze a file with Workbench,,3,Michael Tolan
Manage endpoint quarantine status,,16,Conor Dunne
Real-Time API Threat Detection and Mitigation with Traceable.ai and AWS WAF,", , ",14,
Build and search MITRE ATT&CK semantic index in Elastic,", ",18,Michael Tolan
Update URL lists used by Remote Browser Isolation in Netskope,,7,
Notify recipient of quarantined email and create Tines case if opened,", ",5,Michael Tolan
Search files for sensitive data and secrets,,13,
Push incidents from Jira to Drata,", ",4,
Filter or reject elements in an array,,44,Lasse Høgsholt
Handle complex conditional logic,,16,
Sublime Security trashing workflow,,17,Andrew Katz at Jamf
Run a Real Time Response command in CrowdStrike,,12,Conor Dunne
Read unread emails & analyze any URLs mentioned,", , ",22,Shaun Finn
Manage time formats in Tines,,7,
Create a todo list API,,28,
Import RSS feeds into Anomali Threatstream as threat bulletins,,14,
Create credentials that reference 1Password vaults,,24,
Monitor domains using URLScan,,24,
Export Confluence pages using Tines pages,,16,Dermot Bruce-Agbeko
Who wants to be a Tino Millionaire?,,44,Eric Oyola
Monitor email inbox for sales leads,,6,Michael O'Connell
Self service helpdesk with AI and Pages,,28,Connor Brewer at Uzado Inc.
Set EC2 Security Groups for an instance,,4,Michael Tolan
Retrieve domain information with RiskIQ PassiveTotal,,20,
Manage long-running jobs and check job status in Workbench,,16,
Update a lookup file in Cribl,,12,
Monitor Invary appraisals and isolate threats with Elastic Fleet,", ",11,
Add video conferencing and meeting notes to new Google Calendar events,", , ",22,
Create and update records with changes to Tines cases,,11,Conor Dunne
Create a dynamic drop down menu in Slack,,12,
"Extract CSV attachment from email, update OneDrive and refresh Power BI",", ",6,Michael Tolan
Correlate data across Jira issues,,14,
Implement exponential backoff and retry with an escape,,10,
Enrich FalconLogScale (Humio) events with ChatGPT,", , ",3,@ionstorm
Process SpyCloud breach data and generate a case in Tines,", ",22,Tines
Create expressive pages in Tines,,11,
Rotate AWS access keys on schedule,,23,
Extract IOC's from a PDF with PDF.co and IOCParser,", ",19,Michael Tolan
Reduce manually blocked items from Sophos Central in favor of auto-blocking,", ",38,Nate Adams at Sophos
Remove public access permissions in Google Drive,", ",12,Michael Tolan
Check IPs in Shodan for unexpected open ports,", ",13,
Develop and test Cloudflare WAF rules with immediate analysis,,16,Conor Dunne
Take out the trash in Gmail,,16,
Add open spec files from Traceable to a GitHub repository,", ",15,
Capture all offline devices with Cisco Umbrella,,6,
Perform a unit test on a story in Tines,,10,Pete Wrenn
Download Code42 Cases,,7,
Download files from Elastic Agent host via a Tines Page,,14,
Alert on AWS Backup changes and record in CodeCommit,", ",32,Conor Dunne
Enrich a user with their organization details in Azure Active Directory,,40,
Respond to a CrowdStrike detection in ServiceNow,", ",28,
Process new ServiceNow incidents,", ",3,
Enrich & document Recorded Future alerts,", , ",27,
Search for IoCs in a network when a MISP attribute is created,", , ",15,Conor Dunne
Bootcamp - Pages and Applications (ValenTines Edition),,8,
Remove 3rd Party Apps marked for removal in Netskope SSPM,", , ",6,Netskope
Track Okta Active Directory agents using Records and Microsoft Teams,", , ",11,Taylor Rainwater at Fortune Brands
Run a job in Ansible and retrieve results,,17,
Get brand assets and information,,2,
Analyze vulnerabilities from JupiterOne by source account using Tines Cases,", , ",15,
