Tool Name,Story,Works with,No. of Actions,Author
Slack,Enrich & remediate suspicious logins reported in Okta,"['AbuseIPDB', 'Okta', 'Slack', 'VirusTotal']",14,Derek Wohlfahrt
Slack,Detect secrets and sensitive data shared in Slack,['Slack'],15,Nick Page
Slack,Send a prompt to a Slack channel or user & take action,['Slack'],13,Lasse Høgsholt
Slack,Submit URL for analysis via Slackbot and return screenshot of results,"['Slack', 'URLScan.io', 'VirusTotal']",9,
Slack,Triage new alerts in Google Alert Center with human oversight,"['Google', 'Jira Software', 'Slack']",19,
Slack,Manage CrowdStrike IOCs in Slack,"['CrowdStrike', 'Slack']",38,
Slack,Verify CrowdStrike is present on new devices in Jamf,"['CrowdStrike', 'Jamf', 'Slack']",9,Conor Dunne
Slack,Check IP addresses in Panther & send results via Slack,"['AbuseIPDB', 'Panther', 'Slack']",20,Eoin Magner
Slack,"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","['Elastic', 'Google', 'GreyNoise', 'Slack', 'Tines']",10,Michael Tolan
Slack,Detect and Respond to Okta Impossible Travel Sign-ins with Slack and Tines Cases,"['Okta', 'Slack']",25,
Slack,Start conversations with ChatGPT in Slack,"['OpenAI', 'Slack']",12,
Slack,"Detect, log and remediate AWS alerts with Orca Security and Jira","['AWS', 'Jira Software', 'Orca Security', 'Slack']",21,
Slack,Respond to approve and deny requests via Slack,['Slack'],7,
Slack,Crowdsource suspicious logins and suspend accounts,"['GreyNoise', 'Jira Software', 'OneLogin', 'PagerDuty', 'Slack']",16,
Slack,Incident Management with Slack and Tines Cases,['Slack'],90,
Slack,Document Tines stories in Atlassian Confluence,"['Confluence', 'Slack']",72,Tyler Talaga at MyFitnessPal
Slack,Filter Hunters alerts by risk level and create cases via Slack,"['Hunters SOC Platform', 'Jira Software', 'Slack']",8,
Slack,Send Wiz alerts to Slack and raise issues in Jira,"['Jira Software', 'Slack', 'Wiz']",22,
Slack,Receive alerts for public S3 buckets & make private,"['AWS', 'Slack']",12,
Slack,Elastic SIEM to Slack alert enrichment,"['Elastic', 'Slack', 'Tines']",106,Aaron Jewitt at Elastic
Slack,Email an on-call engineer with PagerDuty,"['PagerDuty', 'Slack']",21,
Slack,Send out-of-office replies in Slack,['Slack'],6,
Slack,Send an MFA push challenge to an Okta user on-demand,"['Okta', 'Slack']",11,
Slack,Check if host is active in CrowdStrike and take action,"['CrowdStrike', 'Slack']",14,
Slack,Send Tines case notifications to subscribers in Slack or Teams,"['Microsoft Teams', 'Slack', 'Tines']",26,Michael Tolan
Slack,Deactivate stale AWS access keys discovered by Wiz,"['AWS', 'ServiceNow', 'Slack', 'Wiz']",17,Derek Wohlfahrt
Slack,Chat with AWS Bedrock in Slack threads,"['AWS', 'Slack']",10,Michael Tolan
Slack,Manage GitHub pull requests via Slack,"['GitHub', 'Slack']",14,Conor Dunne
Slack,Analyze vulnerabilities from JupiterOne by source account,"['Jira Software', 'JupiterOne', 'Slack']",12,
Slack,Run a query in Snowflake,"['Slack', 'Snowflake', 'VirusTotal', 'Zendesk']",5,
Slack,Block suspicious IPs by creating firewall rule groups with CrowdStrike,"['CrowdStrike', 'Slack']",17,
Slack,Manage held queue messages in Mimecast,"['Mimecast', 'Slack']",19,
Slack,Approve user access to Okta or Office 365 using Pages,"['Jira Software', 'Microsoft', 'Okta', 'Slack']",44,
Slack,Implement data loss prevention policies,"['Google', 'Panther', 'Slack']",35,
Slack,Receive enriched IP information via Slack,"['AbuseIPDB', 'GreyNoise', 'Slack', 'VirusTotal']",6,Aaron Sandow
Slack,Analyze SMS phishing with the AI action,"['MISP', 'Slack', 'URLScan.io', 'VirusTotal']",33,Michael Fischler at Roblox
Slack,Triage Slack help desk queries,"['Jira Software', 'Slack']",28,
Slack,Verify a user using Slack and Okta verify,"['Okta', 'Slack']",27,
Slack,Analyze vulnerabilities from JupiterOne by severity,"['Jira Software', 'JupiterOne', 'Slack']",30,
Slack,"Handle, enrich and notify teams of new Qualys alerts","['Jira Software', 'Qualys', 'Slack']",20,
Slack,Determine severity of LimaCharlie detections and triage,"['Jira Software', 'LimaCharlie', 'Slack']",21,
Slack,Utilize Tines prompts in Slack without opening a new browser tab,"['Slack', 'Tines']",8,
Slack,Create on-call Slack channels using OpsGenie groups,"['OpsGenie', 'Slack']",10,
Slack,Handle GitHub notifications and notify Slack,"['GitHub', 'Slack']",17,
Slack,Send email and post contents to Slack,['Slack'],3,
Slack,Search Google Sheets information via Slack,"['Google Sheets', 'Slack']",13,
Slack,Distribute decision making using ChatOps,['Slack'],12,
Slack,Monitor & respond to Slack queries from external users & respond using Zendesk,"['Slack', 'Zendesk']",80,Lasse Høgsholt
Slack,Provide compliance information after signing an MNDA in Docusign eSignature,"['DocuSign', 'Slack']",14,
Slack,Analyze files with VMRay,"['Microsoft', 'Microsoft Teams', 'Slack', 'VMRay']",31,
Slack,Create and update Tines Cases from questions in Slack,"['Slack', 'Tines']",72,Lasse Høgsholt
Slack,Create instant Google Meets via Slackbot,"['Google', 'Slack']",5,Eoin Magner
Slack,Detect and alert performance issues in devices using Elastic and Slack,"['Elastic', 'Slack']",4,Tines and Conor Dunne
Slack,Notify users of open tickets in TheHive,"['Slack', 'TheHive Project']",10,
Slack,Create shift handover notes in Confluence send reminders in Slack,"['Confluence', 'Jira Software', 'Slack']",13,Michael Tolan
Slack,Create and escalate Jira issues for GitHub Advanced Security findings,"['GitHub', 'Jira Software', 'Slack']",6,Conor Dunne
Slack,Remediate compliance violations with Lacework,"['AWS', 'Lacework', 'Slack']",12,
Slack,Capture product feedback and post it to Slack,"['Slack', 'Tines']",23,Tines
Slack,Monitor Tines audit logs for action changes and send Slack alerts,"['Slack', 'Tines']",7,
Slack,Identify EC2 instances missing tags and configure them with a Tines page,"['AWS', 'Slack']",10,Conor Dunne
Slack,Summarize suggested changes in Tines stories with AI,['Slack'],12,Tyler Talaga and Caleb Williams at MyFitnessPal
Slack,Employee recognition app with BambooHR and Slack,"['BambooHR', 'Slack']",20,
Slack,Create Linear issues from Slack message reactions,"['Linear', 'Slack']",14,Tines and Conor Dunne
Slack,Manage Jira issues via Slackbot,"['Jira Software', 'Slack']",94,
Slack,Use OpenAI to create Tines Actions,"['OpenAI', 'Slack']",3,
Slack,Retrieve & enrich IOCs across multiple platforms,"['Cybereason', 'Jira Software', 'PassiveTotal', 'Recorded Future', 'Slack']",14,
Slack,Communicate across channels in Microsoft Teams and Slack,"['Microsoft', 'Microsoft Teams', 'Slack']",15,Michael Tolan
Slack,Create Terraform Infrastructure as Code,"['GitHub', 'HashiCorp', 'HashiCorp Terraform', 'ServiceNow', 'Slack']",16,
Slack,Sensitive files shared to personal email,"['Jira Software', 'Slack', 'Splunk']",26,Brandon Buhrs at Mambu
Slack,Discover new objects in collections provided by the MITRE TAXII server,"['MITRE', 'Slack']",10,Conor Dunne
Slack,Backup Tines Stories to GitLab and notify Slack,"['GitLab', 'Slack', 'Tines']",45,Michael Tolan
Slack,Facilitate two-way communication between Slack & Zendesk,"['Slack', 'Zendesk']",33,Lasse Høgsholt
Slack,Send reminders for risk register updates,"['Google Sheets', 'Slack']",15,Conor Dunne
Slack,Review apps in Lumos for inactive approvers and notify Slack,"['Lumos', 'Slack']",12,Michael Tolan
Slack,"Handle malware alerts with CrowdStrike, Oomnitza, GitHub, and PagerDuty","['CrowdStrike', 'GitHub', 'PagerDuty', 'Slack']",25,Lucas Cantor at Intercom
Slack,Audit & enforce compliance on endpoints with SimpleMDM,"['BambooHR', 'Google', 'Slack']",49,
Slack,Process CrowdStrike detections with Intezer,"['CrowdStrike', 'Intezer Analyze', 'Jira Software', 'Slack']",22,Aaron Sandow
Slack,Lookup user in multiple platforms,"['BambooHR', 'Okta', 'Slack', 'Tines']",11,Michael Tolan
Slack,Message into Slack based on Jira queries,"['Jira Software', 'Slack']",8,Michael Tolan
Slack,Onboard users to OctoPerf via Slack or Jira,"['Jira Software', 'OctoPerf', 'Slack']",29,
Slack,Fetch rule results from Recorded Future Attack Surface Intelligence & open Jira tickets,"['Jira Software', 'Recorded Future', 'Slack']",31,Aaron Sandow
Slack,Respond to & configure Terraform Cloud run task,"['HashiCorp', 'HashiCorp Terraform', 'Jira Software', 'Slack']",16,
Slack,Manage temporary EC2 instances for development and testing and send notifications in Slack,"['AWS', 'Slack']",95,
Slack,Create a ServiceNow incident from Slack,"['ServiceNow', 'Slack']",7,Conor Dunne
Slack,Handover Oncalls in Opsgenie with Tines Cases,"['OpsGenie', 'Slack', 'Tines']",17,
Slack,Manage Velociraptor artifact collection via Slack,"['LimaCharlie', 'Slack', 'Velociraptor']",9,Conor Dunne
Slack,Rotate AWS IAM access keys and update Tines credentials,"['AWS', 'Slack', 'Tines']",16,Michael Tolan
Slack,Report and lock lost devices in Jamf with Okta SSO,"['Jamf', 'Jira Software', 'Okta', 'Slack']",27,Sakil Khan
Slack,Remediate AWS IAM alerts detected with Wiz using Slack and Jira,"['AWS', 'Jira Software', 'Slack', 'Wiz']",36,Conor Dunne
Slack,Manage GitLab issues in Slack,"['GitLab', 'Slack']",47,Conor Dunne
Slack,Share reminders for company holidays,"['BambooHR', 'Slack']",15,
Slack,Handle Opsgenie alerts and create a Tines case,"['OpsGenie', 'Slack']",24,
Slack,Monitor email inbox for sales leads,['Slack'],6,Michael O'Connell
Slack,Create a dynamic drop down menu in Slack,['Slack'],12,
Slack,Alert on AWS Backup changes and record in CodeCommit,"['AWS', 'Slack']",32,Conor Dunne
Slack,Process new ServiceNow incidents,"['ServiceNow', 'Slack']",3,
Slack,Enrich & document Recorded Future alerts,"['Jira Software', 'Recorded Future', 'Slack']",27,
Slack,Remove 3rd Party Apps marked for removal in Netskope SSPM,"['Microsoft Azure', 'Netskope', 'Slack']",6,Netskope
Slack,Analyze vulnerabilities from JupiterOne by source account using Tines Cases,"['Jira Software', 'JupiterOne', 'Slack']",15,
Slack,Use a Tines Page to analyze known vulnerabilities from Tenable,"['Jira Software', 'Slack', 'Tenable Vulnerability Management']",12,
Slack,Query Shodan for findings and alert on them using Slack and Jira,"['Jira Software', 'Shodan', 'Slack', 'Splunk']",11,
Slack,Monitor Okta for invalid sign-in attempts and resolve via Slack,"['Okta', 'PagerDuty', 'Slack']",14,
Slack,Query Snowflake via Slack and return results as CSV,"['Slack', 'Snowflake']",12,Michael Tolan
Slack,Triage phishing alerts with Sublime,"['Slack', 'Sublime Security']",16,
Slack,Investigate and remediate malware with CrowdStrike FalconX and Microsoft Defender,"['CrowdStrike', 'Jira Software', 'Microsoft Defender', 'Slack']",34,
Slack,Manage shift turnover with Handogotchi,"['GitLab', 'Slack']",41,Valentine Mairet
Slack,Remind employees to take time off with BambooHr & Slack,"['BambooHR', 'Slack']",10,
Slack,Fetch rule results from Recorded Future Attack Surface Intelligence & open ServiceNow tickets,"['Recorded Future', 'ServiceNow', 'Slack']",30,Rosie Halpin and Aaron Sandow
Slack,Rickroll users in Slack,['Slack'],8,Andrew Katz at Jamf
Slack,Triage Google Chronicle cases from Slack,"['Google', 'Slack']",43,Sakil Khan
Slack,Create AWS RDS databases from a backup via Slack,"['AWS', 'Slack']",47,Conor Dunne
Slack,Reset Google account password and notify via Slack,"['Google', 'Slack']",13,Conor Dunne
Slack,Run a job using Ansible Tower,"['Ansible', 'Slack']",11,
Slack,Request and approve access to new tools with an audit trail,"['AWS', 'GitHub', 'Jira Software', 'Okta', 'Slack']",31,Michael Tolan
Slack,Scan a URL in Criminal IP,"['Criminal IP', 'Slack']",11,
Slack,Receive a Request for Device Approval into Tailscale and Check Axonius,"['Axonius', 'Slack', 'Tailscale']",17,
Slack,Lookup devices in Lansweeper using a Slack command,"['Lansweeper', 'Slack']",10,Conor Dunne
Slack,Social Interact Made Easy with Virtual Coffee Bot,['Slack'],36,
Slack,Use Slack to record specific Wiz insights in TheHive,"['Slack', 'TheHive Project', 'Wiz']",26,
Slack,Manage Google Calendar swiftly when unexpected alerts trigger,"['Google', 'Slack']",42,
Slack,Time-based Okta group membership,"['Okta', 'Slack']",11,Scott Bean
Slack,Send daily Google Calendar reminders in Slack with notes integration,['Slack'],19,Michael Tolan
Slack,Provide a password reset page in Tines,"['Jira Software', 'Okta', 'Slack']",18,Michael Tolan
Slack,Retrieve domain risk scores in Slack using DomainTools API,"['DomainTools', 'Slack']",13,
Slack,Select a Slack user at random,['Slack'],7,
Slack,Offboard employees using HiBob,"['Google', 'HiBob', 'Okta', 'Slack']",18,
Slack,Identify and resolve false positive AWS alerts in Orca,"['AWS', 'Orca Security', 'Slack']",23,
Slack,Raise Jira requests using Tines Pages and notify Slack,"['Jira Software', 'Slack']",8,Michael Tolan
Slack,Receive and correlate alerts from Sysdig,"['OpsGenie', 'PagerDuty', 'Slack', 'Sysdig']",10,
Slack,Create VirusTotal domain reputation summaries using NVIDIA AI,"['NVIDIA', 'Slack', 'VirusTotal']",18,Conor Dunne
Slack,"Ingest Opsgenie alerts, enrich data, and create Jira issue with notifications in Slack","['Jira Software', 'Microsoft', 'OpsGenie', 'Qualys', 'Slack', 'URLScan.io', 'VirusTotal']",16,
Slack,Monitor website certificates for expiration,"['APIVoid', 'Jira Software', 'Slack']",26,Conor Dunne
Slack,Run command & control tasks in Mythic using Slack,['Slack'],8,
Slack,Manage CyberArk access requests using Slack,"['CyberArk', 'Jira Software', 'Slack']",23,Conor Dunne
Slack,Process & enrich Cylance detections,"['Cylance', 'Slack', 'VirusTotal', 'Zendesk']",29,
Slack,Perform Google Workspace access review,"['Google', 'Slack']",11,Rosie Halpin
Slack,Alert users of potential breaches detected by SpyCloud.,"['Slack', 'SpyCloud']",9,Conor Dunne
Slack,Verify Slack signatures are authentic,['Slack'],9,
Slack,Capture and post handover notes in Slack using a Zendesk lookup,"['Slack', 'Zendesk']",8,
Slack,Isolate & remediate AWS EC2 instance based on IOC,"['AWS', 'Jira Software', 'Slack']",23,
Slack,Utilize ChatOps to get feedback on alerts & changes within your environment,['Slack'],13,
Slack,Alert users of JupiterOne issues associated to their account,"['JupiterOne', 'Slack']",13,Conor Dunne
Slack,Discover inactive Service Accounts in Google Cloud,"['Google', 'Jira Software', 'Slack', 'Wiz']",13,
Slack,Lookup third-party domain in Recorded Future,"['Jira Software', 'Recorded Future', 'Slack']",20,Aaron Sandow
Slack,"Retrieve Code42 alerts, send to Slack and suspend user in Okta","['Code42', 'Okta', 'Slack']",32,
Slack,Monitor CVE trends via Cybersixgill and alert on impacted assets in Tenable.io,"['Cybersixgill', 'Slack', 'Tenable Vulnerability Management']",6,
Slack,Game: Guess the anime quote,['Slack'],47,
Slack,Send follow up email to event attendees,['Slack'],16,
Slack,Question a user and check response via Slack,['Slack'],35,Michael Tolan
Slack,Communicate across chats in Intercom and Slack,"['Intercom', 'Slack']",30,Conor Dunne
Slack,Discover & remediate public Tines pages,['Slack'],18,
Slack,Check Workday for unauthorized travel and alert in Slack,"['Elastic', 'Jumpcloud', 'OpsGenie', 'Slack', 'Workday']",34,Muhammet Tekbicak
Slack,Monitor VulnCheck KEV and alert on impacted assets in Tenable.io,"['Slack', 'Tenable Vulnerability Management', 'VulnCheck']",6,
Slack,"Remove a user account in Microsoft Entra ID, BambooHR, AWS, and Slack","['AWS', 'BambooHR', 'Jira Software', 'Microsoft Azure', 'Slack']",20,Michael Tolan
Slack,Use Slackbots to understand jargon,['Slack'],25,
Slack,Manage Okta user groups and create Jira tickets via Slack,"['AWS', 'Jira Software', 'Knowbe4', 'Okta', 'Slack']",140,Sandeep Kumar
Slack,Monitor and manage Tailscale device enrollments via Slack,"['Slack', 'Tailscale']",6,Conor Dunne
Slack,Manage Okta login threshold limit in Jira via Slack,"['Jira Software', 'Okta', 'Slack']",15,
Slack,Send AWS EventBridge events to Slack,"['AWS', 'Slack']",7,Conor Dunne
Slack,Get host log alerts from Devo SIEM,"['Devo', 'Jira Software', 'Slack']",10,
Slack,Search Fleet for software on devices using Slack,"['Fleet', 'Slack']",21,Conor Dunne
Slack,Lock a device in JumpCloud,"['Jumpcloud', 'Slack']",35,Nicolas Oropel at Eron International
Slack,Update employee probation status with BambooHR & Slack,"['BambooHR', 'Slack']",21,
Slack,Search NetBox for device info using Slack,"['NetBox', 'Slack']",26,Michael Tolan
Slack,Detect unusual user activity with Material Security,"['Material Security', 'Slack', 'Tines']",11,Material Security
Slack,Monitor Azure application secrets for expiration and alert,"['Jira Software', 'Microsoft Azure', 'Slack']",9,Michael Tolan
Slack,Give kudos to coworkers using a Slack bot,"['AWS', 'Slack']",28,Adam Maksimuk at Navan
Slack,Respond to Google Drive public exposure alerts in Reco and secure files,"['Google', 'Google Drive', 'Reco', 'Slack']",46,
Slack,GitLab handover with response teams via a Slackbot,"['GitLab', 'Slack']",42,
Slack,Analyze Tines action failure notifications with AI,['Slack'],6,Tyler Talaga at MyFitnessPal
Slack,Create issues in Jira from alerts in Cybersixgill and notify with Slack and email,"['Cybersixgill', 'Jira Software', 'Slack']",4,
Slack,Search for and remediate inactive AWS accounts from JupiterOne,"['AWS', 'Jira Software', 'JupiterOne', 'Slack']",14,
Slack,Notify Slack channel of recently added tracks in Spotify playlists,"['Slack', 'Spotify']",15,Michael Tolan
Slack,Monitor and backup Fleet policies in GitHub,"['Fleet', 'GitHub', 'Slack']",27,Conor Dunne
Slack,Send Slack notifications when AWS budgets are exceeded and take action,"['AWS', 'Slack']",10,Michael Tolan
Slack,Using Slack with DomainTools' Iris Investigate API,"['DomainTools', 'Slack']",16,
Slack,Retrieve & enrich Okta alerts from Logz.io,"['Logz.io', 'Okta', 'Slack']",27,
Slack,Standardize and enrich EDR alerts across platforms,"['CrowdStrike', 'Jira Software', 'Slack', 'VirusTotal']",26,Shaun Finn
Slack,Manage your fantasy football team with Slack,['Slack'],61,
Slack,Deploy Canarytoken using CrowdStrike RTR,"['CrowdStrike', 'Slack', 'Thinkst Canary']",7,Tyron Kemp at Thinkst Canary
Slack,Update Linux system packages using Ansible Tower,"['Ansible', 'Slack']",16,Conor Dunne
Slack,Perform free text Censys searches via a Slack channel,"['Censys', 'Slack']",11,Conor Dunne
Slack,Send alerts when GitLab projects change to public visibility,"['GitLab', 'Slack']",17,
Slack,Monitor the health of a Hashicorp Vault cluster,"['HashiCorp', 'Slack']",13,Nate Adams at Sophos
Slack,Distributed Alerting Slackbot with 2FA,"['Jira Software', 'Slack', 'Sumo Logic']",99,Jamison Bigham
Slack,Fill out weekly recaps with Tines Pages and Slack,"['Airtable', 'Slack']",30,Conor Dunne
Slack,Notify and assign training based on Harmonic Security alerts,"['Harmonic Security', 'Knowbe4', 'Notion', 'Slack', 'Tines']",17,Harmonic Security
Slack,Monitor for domains that match a query in DomainTools Iris Investigate and notify Slack,"['DomainTools', 'Slack']",7,Nghia N at DomainTools
Slack,Search for docs in Coda using Slack,"['Coda', 'Slack']",9,Conor Dunne
Slack,Send Slack notifications for Kubernetes pod status changes,"['Kubernetes', 'Slack']",13,Conor Dunne
Slack,Tines web crawler,['Slack'],17,Conor Dunne
Slack,"Rock, Paper, Scissors via Slack",['Slack'],19,Daniel Diez at Auctane
Slack,Manage Entro exposure notifications via Slack and Jira,"['Jira Software', 'Slack']",13,Yehonatan Tsirolnik at Entro
Slack,Transfer Kubernetes manifest ownership via Slack,"['Kubernetes', 'Slack']",22,Conor Dunne
Slack,Monitor RSS feed for keywords and send to Slack,"['Slack', 'Tines']",13,Nick Page
Slack,Send a customised daily briefing in Slack,"['Jira Software', 'Slack']",26,Michael Tolan
Slack,Investigate security alerts in Workbench from Slack links,"['Elastic', 'GreyNoise', 'Slack']",3,Michael Tolan
Slack,Create a Panic Button for users,"['Opencage', 'Slack']",8,Francesco Pergola
Slack,Coach users to use AI safely with Harmonic Security and Slack,"['Harmonic Security', 'Slack']",9,
Slack,Search alphaMountain for URL threat intelligence via Slack,"['alphaMountain', 'Slack']",11,Michael Tolan
Slack,Query Falcon Logscale from Slack,"['LogScale', 'Slack']",12,Michael Tolan
Slack,Update employee probation status with HiBob & Slack,"['HiBob', 'Slack']",11,
Slack,Review tasks in ConductorOne for inactive approvers and alert in Slack,"['ConductorOne', 'Slack']",9,Michael Tolan
Slack,Monitor TLS certificates for a domain with SSLMate,"['Slack', 'SSLMate']",25,Conor Dunne
Slack,Handle Kolide exemption requests via Slack,"['Kolide', 'Slack']",22,Scott Bean
Slack,Harmonic Hotdog Slackbot,['Slack'],26,Ed Merrett at Harmonic Security
Slack,Battleworld Slack app game,['Slack'],30,Peter Ortiz
Slack,LLM-Powered Fantasy Manager,['Slack'],54,Tyler Talaga at MyFitnessPal
Slack,Triage Code42 alerts via Slack,"['Code42', 'Slack']",24,
Slack,Search for processes on a host using Fleet scripts,"['Fleet', 'Slack']",27,Conor Dunne
Slack,Receive virtual machine deployment events from Azure Event Grid and alert in Slack and Jira,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Slack']",10,Michael Tolan
Slack,Monitor when a tagged domain becomes active in DomainTools Iris Investigate and notify via Slack,"['DomainTools', 'Slack']",8,Nghia N at DomainTools
Slack,Raise incidents in Atlassian Statuspage,"['Slack', 'Statuspage']",16,
Slack,Sync IriusRisk projects with GitHub Terraform repositories,"['GitHub', 'IriusRisk', 'Slack']",21,Conor Dunne
Jira Software,Analyze CrowdStrike detections,"['CrowdStrike', 'Jira Software', 'Slack', 'VirusTotal']",13,
Jira Software,Analyze and triage suspicious emails with various tools,"['CrowdStrike', 'EmailRep', 'Jira Software', 'NextDNS', 'URLScan.io', 'VirusTotal']",59,Michael Tolan
Jira Software,Implement pagination with these techniques,"['Jira Software', 'Notion', 'Slack', 'Tenable Vulnerability Management']",32,
Jira Software,Analyze an IP in many services at once,"['AbuseIPDB', 'APIVoid', 'GreyNoise', 'Jira Software', 'Pulsedive', 'VirusTotal']",13,Michael Tolan
Jira Software,Create Jira issues via Slack,"['Jira Software', 'Slack']",7,
Jira Software,Send interactive messages in Slack,"['Jira Software', 'Slack']",26,
Jira Software,Find & remediate publicly exposed S3 buckets with Wiz,"['AWS', 'Jira Software', 'Slack', 'Wiz']",13,
Jira Software,Add a new user in Microsoft Entra ID,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Microsoft Teams']",6,Michael Tolan
Jira Software,Identify and remediate malicious SentinelOne threats with VirusTotal,"['Jira Software', 'SentinelOne', 'VirusTotal']",40,
Jira Software,Fetch and record CrowdStrike Spotlight vulnerabilities with Jira,"['Automox', 'CrowdStrike', 'Jira Software']",26,
Jira Software,Handle Code42 alerts,"['Code42', 'Jira Software', 'Slack']",17,
Jira Software,Analyze Crowdstrike detections and report in Jira and Microsoft Teams,"['CrowdStrike', 'Jira Software', 'Microsoft', 'Microsoft Teams']",13,
Jira Software,Grant temporary application access,"['Jira Software', 'Okta', 'Slack', 'Tines']",30,"Shaun Finn , Rosie Halpin and Michael Tolan"
Jira Software,Investigate & remediate Lacework alerts,"['AWS', 'Jira Software', 'Lacework']",25,
Jira Software,Investigate unresolved SentinelOne threats,"['Jira Software', 'SentinelOne']",5,
Jira Software,Analyze vulnerabilities from Tenable workbench,"['GreyNoise', 'Jira Software', 'Slack', 'Tenable Vulnerability Management']",25,
Jira Software,Detect and remediate malware issues in Wiz with SentinelOne,"['AWS', 'Jira Software', 'SentinelOne', 'Wiz']",21,
Jira Software,Fetch & manage Microsoft Defender alerts,"['Jira Software', 'Microsoft']",5,
Jira Software,Create & manage incident communications with Slack and Jira,"['Jira Software', 'Slack']",59,Rosie Halpin
Jira Software,Analyze IPs & search for indicators of compromise,"['Criminal IP', 'Jira Software', 'URLScan.io']",29,
Jira Software,Contain a registered device with CrowdStrike,"['CrowdStrike', 'Jira Software', 'Slack']",10,
Jira Software,"Disable accounts in Google Workspace, GitHub, and Okta","['GitHub', 'Google', 'Jira Software', 'Okta']",23,Aaron Sandow
Jira Software,Disable accounts in Microsoft Entra ID,"['Jira Software', 'Microsoft Azure']",14,
Jira Software,Check if new AWS GuardDuty findings are malicious,"['Amazon GuardDuty', 'AWS', 'Jira Software', 'URLScan.io']",27,
Jira Software,Triage new alerts in Google Alert Center with human oversight,"['Google', 'Jira Software', 'Slack']",19,
Jira Software,"Detect, log and remediate AWS alerts with Orca Security and Jira","['AWS', 'Jira Software', 'Orca Security', 'Slack']",21,
Jira Software,Detect and Block Bucket Public Access Policy with Cyera.io and AWS,"['AWS', 'Cyera', 'Jira Software']",11,
Jira Software,Take action on Azure Sentinel alerts depending on severity level,"['Jira Software', 'Microsoft', 'Microsoft Azure', 'Microsoft Teams']",30,Shaun Finn
Jira Software,Crowdsource suspicious logins and suspend accounts,"['GreyNoise', 'Jira Software', 'OneLogin', 'PagerDuty', 'Slack']",16,
Jira Software,Track Snyk issues in Jira,"['Jira Software', 'Snyk']",16,
Jira Software,Filter Hunters alerts by risk level and create cases via Slack,"['Hunters SOC Platform', 'Jira Software', 'Slack']",8,
Jira Software,Send Wiz alerts to Slack and raise issues in Jira,"['Jira Software', 'Slack', 'Wiz']",22,
Jira Software,Search for & remediate public AWS S3 buckets with JupiterOne,"['AWS', 'Jira Software', 'JupiterOne']",10,
Jira Software,Run & track vulnerability scans with Orca Security,"['Jira Software', 'Orca Security']",12,
Jira Software,Discover and monitor unmanaged devices using Axonius,"['Axonius', 'Jira Software', 'Shodan']",10,
Jira Software,Report and lock lost devices in Jamf,"['Duo Security', 'Jamf', 'Jira Software']",14,Conor Dunne
Jira Software,Detonate files with Recorded Future Sandbox,"['Jira Software', 'Recorded Future']",17,
Jira Software,Investigate EDR alerts from Carbon Black,"['Jira Software', 'PagerDuty', 'VirusTotal']",11,Shaun Finn
